year,value_mil_czk
1990,675424.0
1991,873410.0
1992,980373.0
1993,1201624.0
1994,1376112.0
1995,1607591.0
1996,1840556.0
1997,1982423.0
1998,2168884.0
1999,2267275.0
2000,2399700.0
2001,2591574.0
2002,2704466.0
2003,2833197.0
2004,3087777.0
2005,3288493.0
2006,3530252.0
2007,3856629.0
2008,4037564.0
2009,3945505.0
2010,4032952.0
2011,4095355.0
2012,4118386.0
2013,4169011.0
2014,4377991.0
2015,4651813.0
2016,4843030.0
2017,5179344.0
2018,5475773.0
2019,5888869.0
2020,5828318.0
2021,6307755.0
2022,7049872.0
2023,7659655.0
2024,8069326.0
2025,8573124.0
